127.0.0.1 - - [28/Jul/2015:13:08:22 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:08:25 +0900] "GET /LibOutcomesWeb/WEB-INF/page/dataScienceReference.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:09:20 +0900] "GET /LibOutcomesWeb/ HTTP/1.1" 500 1489
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/ HTTP/1.1" 200 12359
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/css/bootstrap.min.css HTTP/1.1" 200 117309
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21987
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/css/liboutcomes.css HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/js/public/loginFunction.js HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/js/public/dataScienceManualFunction.js HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/js/bootstrap.min.js HTTP/1.1" 200 35957
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/img/slide1.jpg HTTP/1.1" 200 1055938
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:09 +0900] "GET /LibOutcomesWeb/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:12 +0900] "GET /LibOutcomesWeb/DataScienceManual HTTP/1.1" 200 6893
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:11:14 +0900] "GET /LibOutcomesWeb/DataScienceReference HTTP/1.1" 200 4174
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:18 +0900] "GET /LibOutcomesWeb/DataScienceReference HTTP/1.1" 200 105053
0:0:0:0:0:0:0:1 - - [28/Jul/2015:13:12:18 +0900] "GET /LibOutcomesWeb/assets/css/bootstrap.min.css HTTP/1.1" 304 -
